Crop,Ble.tendre,Ble.tendre,Ble.dur,Ble.dur,Triticale,Triticale,Mais.grain,Mais.grain,Mais.ensilage,Mais.ensilage,Orge,Orge,Avoin,Avoin,Sorgho,Sorgho,Seigle,Seigle,Betterave,Betterave,Pomme.de.terre,Pomme.de.terre,Tournesol,Tournesol,Colza,Colza,Soja,Soja,Pois,Pois,Orge.d.hiver.et.escourgeon,Orge.d.hiver.et.escourgeon,Orge.de.printemps,Orge.de.printemps,Pois.proteagineux,Pois.proteagineux
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4779696.573,4852590.711537749,1563299.4,1587140.9475332268,194016.59999999998,49243.87650266729,5028307.5,5104993.151048628,262180.8,266179.2637654817,515495.74500000005,523357.46125703526,40531.4,292866.74666811293,241368.0,141472.30673821564,0.0,0.0,0.0,0.0,1697.024,923.5725443640539,1643551.2,1180861.9514075294,335474.3,203384.52751718348,217663.59999999998,84706.6479485291,453.76,453.76,8941.0,8941.0,1488.0,1488.0,1661.0,1661.0
33,241883.62099999955,192583.48581228152,10854.6,8642.241655122214,47914.2,9537.11088183482,2760789.6999999997,2198092.21402653,274203.2,218315.7663117763,26149.2,20819.533238269658,1635.4,16091.98405419305,8927.0,5213.246470849424,0.0,0.0,0.0,0.0,110976.28799999999,61198.323528790715,80662.5,55996.92079332697,3182.52,1469.6724886190987,647.5,261.2853478225738,1863,1863,165.0,165.0,81.0,81.0,120.0,120.0
34,23568.729000000003,13064.892562440838,750816.0,416201.0761870774,17134.2,2374.50736252445,28544.399999999965,15823.06450463815,0.0,0.0,37817.84,20963.62585116819,6983.6,51802.45096099678,19944.5,10357.66682680321,512.6,232.14961895231733,0.0,0.0,16534.676,8181.44597607917,5040.0,3198.2074326153815,1141.686,667.350842431217,0.0,0.0,313.74,313.74,568.0,568.0,0.0,0.0,190.0,190.0
35,6839578.58099999,8067666.952279849,0.0,0.0,657409.5,193862.85406525017,2280556.5999999996,2690044.5541680846,10816807.6,12759031.886278966,944572.5360000001,1114176.340321278,44995.600000000006,823019.4880350105,791.0,491.44833578029625,2563.0,1602.1788326151066,0.0,0.0,94427.83899999999,57107.42102724872,1075.5,782.8807582191757,293568.468,199936.6293639807,0.0,0.0,755.52,755.52,11778.0,11778.0,1148.0,1148.0,2491.0,2491.0
36,6681542.43,4940854.990034873,339573.6,251107.27554627016,463546.8,113445.34331472979,883378.7,653239.2937277985,628864.0,711946.6939337923,2521445.08,2829396.9268215573,104444.6,585536.69017312,48816.0,33553.93625931195,21575.8,16831.28467593712,0.0,0.0,984.096,734.2812202087996,325498.5,257292.7792196555,1632746.861,1151728.824467521,0.0,0.0,167.18,167.18,37332.0,37332.0,3761.0,3761.0,4612.0,4612.0
37,7147160.328000012,5285169.276576477,230790.6,170664.61817906052,157696.19999999998,38593.51320822038,1369074.0,1012400.3814231562,913008.7999999999,1033631.4317443182,1201236.7719999999,1347947.5155103705,55957.200000000004,313706.9190686288,95541.5,65670.95626677838,1211.6000000000001,945.1693338539203,0.0,0.0,9520.775,7103.906818372836,796031.7999999999,629229.4255402866,898177.4149999999,633568.4012325453,1450.3999999999999,838.3442503868296,192.9,192.9,17333.0,17333.0,2475.0,2475.0,2801.0,2801.0
38,1707791.8,1434531.4664523164,5972.4,5016.768279505625,205251.3,43102.36300177882,2868359.8,2409399.313316104,1191026.8,1000452.995492782,585866.598000001,492123.26114598475,19934.2,226363.24117282644,69438.5,41499.70553496478,11929.6,6488.1012383191,0.0,0.0,40297.725000000006,21934.532220891124,193116.19999999998,131334.29455626712,134269.4,84323.03527786687,15773.099999999999,6957.461097201535,365.17,365.17,8072.0,8072.0,647.0,647.0,552.0,552.0
39,1314786.8,2134992.121783073,0.0,0.0,106960.5,43421.45525836913,875802.1,1422154.9712402578,305993.2,496881.3737095567,466652.74600000004,757765.393080032,13790.400000000001,229502.57808932482,0.0,0.0,5452.2,3444.828584045034,0.0,0.0,849.24,535.5730102950977,84384.0,66471.43996335167,170237.2,110797.11560674765,65708.3,41868.29764075168,4134.96,4134.96,5500.0,5500.0,723.0,723.0,70.0,70.0
40,103038.1,82037.12342091357,0.0,0.0,80592.29999999999,16041.54303572002,11352125.5,9038362.709844224,502282.0,399908.09638476744,14672.98,11682.368669575588,2961.4,29139.538692727958,21696.0,12670.168638013793,3075.6,1561.8240960336802,0.0,0.0,137077.109,75591.72699102451,59166.8,41074.335821411645,4788.0,2211.075460800952,13727.0,5539.249373838564,1138.5,1138.5,118.0,118.0,40.0,40.0,17.0,17.0
41,5168812.264,3822224.0051146173,1522156.2,1125601.331604882,224540.09999999998,54952.44219661048,1266437.5,936502.9268312659,593606.0,672030.5649540483,1320491.910000002,1481767.6504961725,54896.4,307759.86847017147,31809.5,21864.428372676655,79453.0,61981.29670080517,422735.8400000005,296628.4145952746,399597.97500000003,298159.21279627737,227691.9,179980.80407990783,1374091.4880000001,969275.0370475628,0.0,0.0,199.33,199.33,16981.0,16981.0,2106.0,2106.0,4854.0,4854.0
42,574642.5090000001,482695.11606836884,0.0,0.0,325857.6,68429.44508555337,197696.4,166063.3963720541,1455519.5999999999,1222624.83415021,269576.845,226442.39583504194,7027.8,79804.33557977696,2938.0,1755.8866459057513,44270.0,24076.938189074783,0.0,0.0,52829.936,28755.964100197118,6725.0,4573.53205422899,4908.6,3082.66850797678,0.0,0.0,241.15,241.15,4481.0,4481.0,215.0,215.0,22.0,22.0
43,657310.2,1976536.1613951123,0.0,0.0,437435.1,328842.5668023587,12510.199999999999,37618.25495220541,902951.6,2715181.4917668626,338757.94399999996,1018647.4000796891,12199.2,1158205.6379984505,1017.0,577.7110131571433,115707.8,70256.90650326299,0.0,0.0,28952.703,17740.640727864135,5075.0,3375.907938252824,6102.0,4195.941895851054,0.0,0.0,2042.12,2042.12,6568.0,6568.0,745.0,745.0,56.0,56.0
44,3100234.665,4277740.825506723,2227.7999999999997,3073.945052821953,945202.5,326050.4251716875,721715.2,995831.2544153006,6011662.399999999,8294963.593552271,397571.29,548573.6152435327,15956.2,239393.84931347574,2938.0,1798.066643461231,4287.2,2622.519854471031,0.0,0.0,13476.732999999998,8219.359049912577,48656.1,34735.92831092136,229845.861,153905.55913425484,0.0,0.0,546.24,546.24,4366.0,4366.0,662.0,662.0,1920.0,1920.0
45,7157169.252,5292570.657710896,1279136.4,945893.4865845405,82028.7,20075.155374087313,2639652.1999999997,1951965.2656499748,455001.6,515114.3726697438,3447643.877,3868715.233075375,55736.200000000004,312467.9501939502,15085.5,10369.098357912375,54661.8,42641.678023486485,16917651.3,11870902.840399528,782072.4689999999,583541.7752221619,203958.1,161220.240318651,1171798.724,826579.0608095132,1061.8999999999999,613.7877547475001,231.48,231.48,21392.0,21392.0,31932.0,31932.0,3906.0,3906.0
