Crop,Vaches_laitieres,Vaches_laitieres,Vaches.allaitantes,Vaches.allaitantes,Brebis.meres.nourrices,Brebis.meres.nourrices,Porcs,Porcs,Poulets.de.chair,Poulets.de.chair,Poules.pondeuses,Poules.pondeuses
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,
13,86.0,200.69444444444412,4713.0,1984.5000000000014,129502.0,129517.20000000017,960.0,967.6000000000031,12980.0,12993.620000000026,19645.0,19661.779999999904
14,103604.0,71952.77777777778,51535.0,21647.639999999985,19322.0,23201.99999999998,38189.0,22925.40000000001,356164.0,220834.08000000005,181144.0,141298.56
15,76925.0,53420.138888888854,151155.0,63485.1,33311.0,39975.59999999992,26410.0,29055.40000000006,8266.0,9925.199999999983,17477.0,17480.000000000047
16,21563.0,14977.083333333332,45917.0,12642.574148280053,59550.0,71471.99999999984,69987.0,42002.39999999997,136287.0,84505.99999999996,10923.0,8523.840000000002
17,21514.0,14945.13888888889,26077.0,7180.5526211082915,7364.0,8858.400000000005,1996.0,1213.8000000000002,124676.0,77310.89999999994,12557.0,9806.16
18,6953.0,6021.66838177921,64170.0,26952.24,39960.0,47962.79999999999,7401.0,4451.400000000003,565823.0,350818.3200000001,7815.0,6099.599999999995
19,9301.0,6461.805555555552,140401.0,58968.42,48690.0,58428.0,34821.0,20899.80000000001,138136.0,85648.66000000002,22266.0,17369.040000000008
21,15370.0,10679.16666666667,71330.0,29960.69999999995,38702.0,46459.199999999924,3268.0,1974.599999999999,141422.0,87695.28000000004,5937.0,4640.219999999999
22,184765.0,128311.11111111107,37314.0,13476.568215866735,10803.0,12986.400000000032,1717654.0,1030594.2000000005,12705260.0,7877268.020000002,12142283.0,9470990.099999994
23,8886.0,6172.222222222225,175456.0,73691.52,68164.0,81796.8,32198.0,19323.59999999998,113144.0,70152.99999999999,21869.0,17057.82
24,27005.0,19717.82573760615,86389.0,36284.22000000002,53023.0,63631.20000000021,40983.0,24603.59999999997,1495927.0,927482.1799999997,63555.0,49578.359999999986
25,92312.0,64109.02777777779,6286.0,2642.640000000001,7351.0,8827.200000000023,40225.0,24140.400000000016,6764.0,4201.7400000000025,11114.0,8672.819999999996
26,4503.0,3136.805555555553,6581.0,2767.800000000003,64070.0,76892.39999999975,22511.0,13515.000000000011,3244575.0,2011644.56,2052337.0,1600829.100000001
27,34753.0,24141.666666666686,26549.0,10785.913937894502,29406.0,35296.79999999996,24520.0,14722.199999999999,518162.0,321269.11999999994,260679.0,203338.9800000001
28,7385.0,6400.781613232317,8163.0,3431.820000000002,6602.0,7941.599999999971,36252.0,21758.400000000005,650986.0,403620.0000000001,168436.0,131391.0000000001
29,167287.0,116172.91666666666,31806.0,11487.061709416308,7285.0,8771.999999999976,1717939.0,1030766.4000000001,16211732.0,10051280.659999987,2698585.0,2104911.120000001
2A,0.0,0.0,14261.0,5989.62,24157.0,24161.00000000002,2711.0,2714.9999999999995,17.0,23.99999999999995,783.0,791.9999999999975
2B,0.0,0.0,26519.0,11138.82000000001,66607.0,66608.99999999985,1915.0,1927.0000000000018,48.0,57.99999999999984,889.0,900.9999999999991
30,14.0,62.000000000000014,3649.0,1537.6199999999992,35186.0,35199.000000000146,196.0,211.00000000000043,193315.0,193341.00000000087,9929.0,9940.999999999958
31,12930.0,8984.027777777783,41519.0,17439.239999999987,47906.0,57496.800000000214,4340.0,2615.9999999999986,222164.0,137749.7399999999,24165.0,18859.619999999995
32,8504.0,5909.02777777778,44094.0,18519.48,17875.0,21458.399999999998,23473.0,14089.200000000006,2301108.0,1426688.8199999991,146013.0,113895.60000000008
33,7225.0,5288.848433488319,16437.0,6909.000000000002,11884.0,14287.199999999953,316.0,199.79999999999995,133639.0,82869.19999999997,19371.0,15117.180000000013
34,223.0,495.9999999999998,3485.0,1472.1000000000006,29455.0,29473.99999999993,1009.0,1024.000000000003,45243.0,45264.00000000009,6876.0,6889.9999999999745
35,227936.0,158290.97222222225,34916.0,12610.199345114399,17885.0,21469.200000000015,816087.0,489655.1999999997,5462181.0,3386559.0400000005,1091844.0,851647.6800000009
36,8999.0,7792.594572539638,91395.0,38387.16000000005,56959.0,68354.39999999997,40060.0,24041.399999999998,504999.0,313103.09999999974,22274.0,17376.060000000016
37,19945.0,17267.82869289855,16495.0,6929.999999999991,13220.0,15874.800000000056,31580.0,18956.400000000005,683611.0,423843.16000000027,84348.0,65800.79999999997
