Crop,Ble.tendre,Ble.tendre,Ble.dur,Ble.dur,Triticale,Triticale,Mais.grain,Mais.grain,Mais.ensilage,Mais.ensilage,Orge,Orge,Avoin,Avoin,Sorgho,Sorgho,Seigle,Seigle,Betterave,Betterave,Pomme.de.terre,Pomme.de.terre,Tournesol,Tournesol,Colza,Colza,Soja,Soja
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,69.819,79.93648675316024,47.4,54.268744497913104,51.3,58.73389436166545,88.1,100.86659051194397,115.6,132.35162160250536,58.413,66.87764076701684,44.2,280.08122615757486,56.5,44.305221365,46.6,44.6920406356,460.0,355.4205994199995,231.826,201.49101059029599,0.0,0.0,30.928,29.50388216763203,25.9,19.2984394169
51,83.296,82.02530707937316,47.4,46.67690592059988,51.3,50.517410838117584,88.0999999999999,86.75602134187436,115.6,113.83650473462754,70.389,69.31520529209081,44.2,310.9669342232024,56.5,44.539063847499996,46.6,47.2323320362,864.39,703.29444131148,477.02,463.9265537375605,32.3,31.5928865912,37.391,36.893779492393996,25.9,21.2621454045
52,64.82,63.83116121884565,47.4,46.67690592059988,51.3,50.517410838117584,88.1,86.75602134187446,115.6,113.83650473462754,58.009,57.1240640410987,44.2,310.9669342232024,56.5,44.539063847499996,46.6,47.2323320362,663.83,540.11262158956,363.167,353.19863892752636,26.8,26.213292899200002,31.98,31.55473424532,25.9,21.2621454045
53,71.294,83.74578003245908,47.4,55.67859810837603,51.3,60.25974858564747,88.1,103.48701462759342,115.6,135.78999876219976,61.376,72.09556197256724,44.2,564.5414518568945,56.5,43.23816490750006,46.6,38.59709042380005,686.525,500.863611358075,262.083,216.7512493782183,26.1,25.4863360431,33.384,30.454105819800034,25.9,16.94925140089997
54,66.77,67.07728077038855,47.4,47.618138513051036,51.3,51.53608661855523,88.0999999999999,88.50544310126142,115.6,116.1320002554578,61.028,61.30885563659238,44.2,1805.7754209941943,56.5,47.2415261955,46.6,43.7418967858,495.811428571429,387.60917967264066,297.183,260.7172687539777,27.843,25.847836691439,32.105,30.301975398484966,25.9,20.966600970700014
55,70.786,71.11176271697956,47.4,47.618138513051036,51.3,51.53608661855523,88.1,88.50544310126152,115.6,116.1320002554578,60.711,60.99039677776037,44.2,1805.7754209941943,56.5,47.2415261955,46.6,43.7418967858,728.87,569.8067581903205,396.429,347.7853246480136,28.136,26.119841006728,33.891,31.987673204486963,25.9,20.966600970700014
56,68.097,73.95836276521743,47.4,51.479894783489826,51.3,55.71558232896683,88.0999999999999,95.68309557859595,115.6,125.55012314285703,63.6610000000001,69.14053970066985,44.2,744.39428792296,56.5,43.242182566,46.6,38.895991491400046,0.0,0.0,297.115,235.95779530550502,21.1,20.419502612900022,31.718,28.827715392696,25.9,18.059165805099973
57,67.167,67.47610779548732,47.4,47.618138513051036,51.3,51.53608661855523,88.0999999999999,88.50544310126142,115.6,116.1320002554578,62.078,62.36368781884351,44.2,1805.7754209941943,56.5,47.2415261955,46.6,43.7418967858,652.990000000001,510.4862527346412,260.543,228.57316654373776,26.2,24.3225701726,32.649,30.81542422629297,25.9,20.966600970700014
58,61.4,71.91693799129882,47.4,55.51893910077466,51.3,60.086953077420674,88.1,103.19026444679847,115.6,135.40061941032806,59.3800000000001,69.55094100852331,44.2,592.3058904850758,56.5,41.57230777699997,46.6,36.986657380400004,0.0,0.0,333.546,289.900704055416,23.7,23.5865337141,30.9,28.662767724899997,25.9,17.489765390300025
59,85.683,72.58610521199428,47.4000000000001,40.154772674259014,51.3000000000001,43.45864637530564,88.1000000000001,74.63365975954042,115.6,97.93020508743318,77.174,65.37773051399282,44.1999999999999,354.65624613216903,56.5,44.74812921550006,46.5999999999999,46.6542299111999,836.910000000002,679.9930398288933,464.342,403.581733021832,0.0,0.0,37.907,35.401886185912,25.9,18.9308500927
