Crop,Ble.tendre,Ble.tendre,Ble.dur,Ble.dur,Triticale,Triticale,Mais.grain,Mais.grain,Mais.ensilage,Mais.ensilage,Orge,Orge,Avoin,Avoin,Sorgho,Sorgho,Seigle,Seigle,Betterave,Betterave,Pomme.de.terre,Pomme.de.terre,Tournesol,Tournesol,Colza,Colza,Soja,Soja
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,64880.0,63890.24590988439,0.0,0.0,2437.0,599.9558002558123,5750.0,5662.28289121201,13299.0,13096.121768735396,47786.0,47057.01743294907,1027.0,1011.3329616129973,0.0,0.0,0.0,0.0,54.0,53.400829068,0.0,0.0,1778.0,1422.165408902,45013.0,35403.606124618,0.0,0.0
53,79437.0,93310.98729820816,148.0,173.84878734260872,8456.0,2483.2184894748298,5043.0,5923.779963302539,80447.0,94497.38780642461,9862.0,11584.437437654102,1373.0,1612.7998987932551,3.0,2.399144697,33.0,24.371952891,58.0,46.565390944,63.0,46.45913498100006,1394.0,1019.14854888,10172.0,7466.490042740001,0.0,0.0
54,69607.0,69927.33686662329,0.0,0.0,2077.0,521.6396291751394,3345.0,3360.3939520286017,15831.0,15903.855502112046,36639.0,36807.61554809445,189.0,189.8697928052035,0.0,0.0,10.0,7.995907230000006,0.0,0.0,32.0,24.917367008,531.0,424.25230429799973,37416.0,24341.454507024,0.0,0.0
55,82020.0,82397.46246498832,0.0,0.0,1126.0,282.79548505113473,7166.0,7198.9784933443825,19188.0,19276.304679080662,53116.0,53360.44399281053,518.0,520.3838765772244,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.336003157,707.0,564.8707705059996,47927.0,31179.519193878,0.0,0.0
56,56211.0,61049.29041507904,0.0,0.0,16478.0,4474.080729126319,36482.0,39622.14180361341,60172.0,65351.22845806223,14617.0,15875.139705701915,2090.0,2269.894094883834,0.0,0.0,80.0,59.91470712,0.0,0.0,2053.0,1563.40571303,0.0,0.0,6008.0,4502.030706656,0.0,0.0
57,74457.0,74799.65694654518,0.0,0.0,4386.0,1101.546178893674,2088.0,2097.6091395622484,17076.0,17154.585089638385,34994.0,35155.04512923434,495.0,497.27802877553296,0.0,0.0,0.0,0.0,0.0,0.0,65.0,50.613401735,78.0,62.31954752399996,40247.0,26183.197550358,0.0,0.0
58,47339.0,55447.49067703738,244.0,285.7936949491354,7596.0,2224.2714209361066,5628.0,6591.995553990713,3304.0,3869.927738163702,25157.0,29466.032720636882,2226.0,2607.281823593342,22.0,17.108311044,79.0,56.754055672,0.0,0.0,0.0,0.0,1773.0,1286.046195372,26339.0,19731.901779924,0.0,0.0
59,115945.0,98222.47083791038,0.0,0.0,797.0,168.79406023936923,15114.0,12803.781312209905,29767.0,25217.027810014046,17359.0,14705.626558068794,273.0,231.27115907326348,0.0,0.0,0.0,0.0,19397.0,18024.402078039,24028.0,19101.130972336,0.0,0.0,7360.0,5966.960795840007,0.0,0.0
60,154224.0,114485.51374974982,9.0,6.6809940330152795,261.0,72.29433841695624,13337.0,9900.49082425831,10121.0,7513.148956460849,27635.0,29393.714643164552,624.0,933.3448380451166,0.0,0.0,299.0,240.5095778410003,30048.0,30664.476156192002,4848.0,3848.1524505119996,243.0,194.65571108699976,37759.0,30991.193477550998,0.0,0.0
61,83092.0,95132.88012279737,304.0,348.05270732838784,4969.0,1422.264722627269,5756.0,6590.10323480987,47817.0,54746.17206026816,17794.0,20372.532480925438,2635.0,3016.83843358652,0.0,0.0,235.0,181.196449435,549.0,525.730303953,17.0,13.273916812,857.0,654.683976958,20421.0,16313.58785772,0.0,0.0
